Product,Price,Link,Rating,Brand,Age Range,Ingredients,Sales
"Nature's Logic Dehydrated Chicken Bone Broth, 6oz",$17.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNzEzNTE4MTcwNTc2ODI4OjE3MzMwMzA3OTU6c3BfYXRmOjMwMDQ2NTEzMTc5NTAwMjo6MDo6&url=%2FNatures-Logic-Dehydrated-Chicken-Broth%2Fdp%2FB0798QPDHW%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26qid%3D1733030795%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.4 out of 5 stars,NATURE'S LOGIC,Age Range unavailable,Ingredients unavailable,200+ bought in past month
"Wellness Natural Pet Food CORE Grain-Free High-Protein Small Breed Dry Dog Food, Natural Ingredients, Made in USA with Real Meat (Puppy, Turkey, 4-Pound Bag)",$20.98,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNzEzNTE4MTcwNTc2ODI4OjE3MzMwMzA3OTU6c3BfYXRmOjMwMDU3MDAyNjA3MzMwMjo6MDo6&url=%2FWellness-Natural-Grain-Food-4-Pound%2Fdp%2FB07BRKQ8GM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26qid%3D1733030795%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.6 out of 5 stars,Wellness,Puppy,,200+ bought in past month
"Wellness CORE Natural Grain Free Dry Dog Food, Small Breed Healthy Weight, 4-Pound Bag",$20.98,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNzEzNTE4MTcwNTc2ODI4OjE3MzMwMzA3OTU6c3BfYXRmOjMwMDU1NzgyNjY3NjUwMjo6MDo6&url=%2FWellness-Natural-Food-Healthy-4-Pound%2Fdp%2FB071LL367B%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26qid%3D1733030795%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.6 out of 5 stars,Wellness,Adult,"Deboned Turkey, Turkey Meal (source of Chondroitin Sulfate), Chicken Meal (source of Glucosamine), Peas, Lentils, Dried Ground Potatoes, Pea Fiber, Ground Flaxseed, Tomato Pomace, Chicken Fat (preserved with Mixed Tocopherols), Natural Chicken Flavor, Salmon Oil, Taurine, Choline Chloride, Vitamin E Supplement, Spinach, Broccoli, Carrots, Parsley, Apples, Blueberries, Kale, Spearmint, Zinc Proteinate, Mixed Tocopherols added to preserve freshness, Zinc Sulfate, Calcium Carbonate, Niacin, Iron Proteinate, Ferrous Sulfate, Vitamin A Supplement, Copper Sulfate, Thiamine Mononitrate, Copper Proteinate, Manganese Proteinate, Manganese Sulfate, d-Calcium Pantothenate, Sodium Selenite, Pyridoxine Hydrochloride, Riboflavin, Biotin, Vitamin D3 Supplement, Chicory Root Extract, Yucca Schidigera Extract, Calcium Iodate, Vitamin B12 Supplement, Folic Acid, Ascorbic Acid (Vitamin C), Dried Lactobacillus plantarum Fermentation Product, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Rosemary Extract, Green Tea Extract, Spearmint Extract. This is a naturally preserved product.",700+ bought in past month
"NATURE'S LOGIC Dog Food Canine Meal Feast, Pork",$82.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNzEzNTE4MTcwNTc2ODI4OjE3MzMwMzA3OTU6c3BfYXRmOjMwMDQ2NTEzMTc5MzIwMjo6MDo6&url=%2FNatureS-Logic-Food-Canine-Feast%2Fdp%2FB08NZV64TM%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26qid%3D1733030795%26rdc%3D1%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.3 out of 5 stars,NATURE'S LOGIC,All Life Stages,"Pork Meal, Millet, Pork Fat (preserved with Mixed Tocopherols), Pumpkin Seed, Yeast Culture, Spray Dried Pork Liver, Alfalfa Nutrient Concentrate, Montmorillonite Clay, Dried Kelp, Spray Dried Porcine Plasma, Dried Tomato, Almonds, Dried Chicory Root, Dried Carrot, Dried Apple, Menhaden Fish Meal, Dried Pumpkin, Dried Apricot, Dried Blueberry, Dried Spinach, Dried Broccoli, Dried Cranberry, Parsley, Dried Artichoke, Rosemary, Dried Mushroom, Dried Lactobacillus acidophilus Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Bifidobacterium bifidium Fermentation Product, Dried Enterococcus faecium Fermentation Product, Dried Bacillus coagulans Fermentation Product, Dried Pineapple Extract, Dried Aspergillus niger Fermentation Extract, Dried Aspergillus oryzae Fermentation Extract, Dried Trichoderma longibrachiatum Fermentation Extract",50+ bought in past month
"Purina Pro Plan Sensitive Skin and Stomach Dog Food Dry, Adult Salmon & Rice Formula, Digestive Health - 30 lb. Bag",$57.58,https://www.amazon.com/Purina-Pro-Plan-Sensitive-Stomach/dp/B01EY9KQ2Y/ref=sr_1_5?dib=eyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE&dib_tag=se&keywords=pet+food&qid=1733030795&sr=8-5,4.6 out of 5 stars,Purina Pro Plan,Adult,"Salmon, barley, ground rice, canola meal, oat meal, fish meal (source of glucosamine), animal fat preserved with mixed-tocopherols, brewers dried yeast, salmon meal (source of glucosamine), natural flavor, sunflower oil, chicory root inulin, salt, fish oil, VITAMINS [Vitamin E supplement, niacin (Vitamin B-3), Vitamin A supplement, calcium pantothenate (Vitamin B-5), pyridoxine hydrochloride (Vitamin B-6), folic acid (Vitamin B-9), Vitamin B-12 supplement, thiamine mononitrate (Vitamin B-1), Vitamin D-3 supplement, riboflavin supplement (Vitamin B-2), menadione sodium bisulfite complex (Vitamin K), biotin (Vitamin B-7)], potassium chloride, MINERALS [zinc sulfate, ferrous sulfate, manganese sulfate, copper sulfate, calcium iodate, sodium selenite], L-ascorbyl-2-polyphosphate (Vitamin C), choline chloride.",40K+ bought in past month
"Blue Buffalo Life Protection Formula Adult Dry Dog Food, Helps Build and Maintain Strong Muscles, Made with Natural Ingredients, Chicken & Brown Rice Recipe, 30-lb. Bag",$64.98,https://www.amazon.com/Blue-Buffalo-Protection-Formula-Adult/dp/B0009YWKUA/ref=sr_1_6?dib=eyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE&dib_tag=se&keywords=pet+food&qid=1733030795&sr=8-6,4.6 out of 5 stars,Blue Buffalo,Adult,,20K+ bought in past month
"Purina Friskies Gravy Wet Cat Food Variety Pack, Poultry Shreds, Meaty Bits and Prime Filets - (Pack of 32) 5.5 oz. Cans",$22.44,https://www.amazon.com/Purina-Friskies-Poultry-Adult-Variety/dp/B00283MYSI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.a-ZgwCGxzATVGMINPhDRea0FgIfT4erMEr1pba0yI1hIflTDuNWeVZvCjO0DzWKeSlINnGPUqTCDsL7vq1KmxTebNQxsCMY-fliD-ozFymbKNTe1qWSCsBRR4ZlGbagxOaOAFqiUE8w-Z9_QUXVIKphpCJQuEThiuhspgm50pgJXDegt9tI16WWOTk_BjW80Ip4j5uH4zByP_LZZ7WRBEh5Vq2ReYq95223uiti0O8UL1L5k2EqZ3s2IeX2ku9lfqVTBKPZnzZbn4Opi0U6OJkUu-4yr0teWUy5Hsl1HwvU.BSyhXLKkdphUOKhfv4WDcMNNMsYZ5IP3OODMJqaAczE&dib_tag=se&keywords=pet+food&qid=1733030795&sr=8-7,4.7 out of 5 stars,Friskies,Adult,"Shreds Turkey & Cheese Dinner in Gravy: Water, meat by-products, turkey, wheat gluten, chicken, vegetable starch-modified, soy flour, artificial and natural flavors, cheese, sodium caseinate, vegetable oil, tricalcium phosphate, corn starch, MINERALS [potassium chloride, zinc sulfate, ferrous sulfate, manganese sulfate, copper sulfate, potassium iodide], salt, taurine, dried whey, added color, choline chloride, VITAMINS [thiamine mononitrate (Vitamin B-1), Vitamin E supplement, niacin (Vitamin B-3), calcium pantothenate (Vitamin B-5), Vitamin A supplement, menadione sodium bisulfite complex (Vitamin K), pyridoxine hydrochloride (Vitamin B-6), riboflavin supplement (Vitamin B-2), Vitamin B-12 supplement, biotin (Vitamin B-7), folic acid (Vitamin B-9), Vitamin D-3 supplement], sorbic acid (a preservative). G612118; Meaty Bits Chicken Dinner in Gravy: Water, chicken, liver, wheat gluten, meat by-products, turkey, soy flour, corn starch-modified, artificial and natural flavors, tricalcium phosphate, MINERALS [potassium chloride, zinc sulfate, ferrous sulfate, manganese sulfate, copper sulfate, potassium iodide], taurine, added color, salt, choline chloride, VITAMINS [thiamine mononitrate (Vitamin B-1), Vitamin E supplement, niacin (Vitamin B-3), calcium pantothenate (Vitamin B-5), Vitamin A supplement, menadione sodium bisulfite complex (Vitamin K), pyridoxine hydrochloride (Vitamin B-6), riboflavin supplement (Vitamin B-2), Vitamin B-12 supplement, biotin (Vitamin B-7), folic acid (Vitamin B-9), Vitamin D-3 supplement]. F610018; Prime Filets With Chicken in Gravy: Water, chicken, liver, wheat gluten, meat by-products, soy flour, corn starch-modified, artificial and natural flavors, tricalcium phosphate, added color, MINERALS [potassium chloride, zinc sulfate, ferrous sulfate, manganese sulfate, copper sulfate, potassium iodide], taurine, salt, choline chloride, VITAMINS [thiamine mononitrate (Vitamin B-1), Vitamin E supplement, niacin (Vitamin B-3), calcium pantothenate (Vitamin B-5), Vitamin A supplement, menadione sodium bisulfite complex (Vitamin K), pyridoxine hydrochloride (Vitamin B-6), riboflavin supplement (Vitamin B-2), Vitamin B-12 supplement, biotin (Vitamin B-7), folic acid (Vitamin B-9), Vitamin D-3 supplement]. G611318; Prime Filets Turkey Dinner in Gravy: Water, turkey, liver, wheat gluten, meat by-products, chicken, soy flour, corn starch-modified, artificial and natural flavors, tricalcium phosphate, added color, MINERALS [potassium chloride, mono and dicalcium phosphate, magnesium sulfate, zinc sulfate, ferrous sulfate, copper sulfate, manganese sulfate, potassium iodide], taurine, choline chloride, salt, VITAMINS [thiamine mononitrate (Vitamin B-1), Vitamin E supplement, niacin (Vitamin B-3), calcium pantothenate (Vitamin B-5), Vitamin A supplement, menadione sodium bisulfite complex (Vitamin K), pyridoxine hydrochloride (Vitamin B-6), riboflavin supplement (Vitamin B-2), Vitamin B-12 supplement, biotin (Vitamin B-7), folic acid (Vitamin B-9), Vitamin D-3 supplement]. G611118.",50K+ bought in past month
"Blue Buffalo Life Protection Formula Adult Dry Dog Food, Helps Build and Maintain Strong Muscles, Made with Natural Ingredients, Lamb & Brown Rice Recipe, 30-lb. Bag",$69.90,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjIyNTI2Mjc5MTg1NjMwOjE3MzMwMzA3OTU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA1NTI3NjkwNzY0MTo6MDo6&url=%2FBlue-Buffalo-Protection-Formula-Adult%2Fdp%2FB000XZBXP8%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6b32b29c-c1e7-4548-a253-3cba792cf5c7%253Aamzn1.sym.6b32b29c-c1e7-4548-a253-3cba792cf5c7%26cv_ct_cx%3Dpet%2Bfood%26dib%3DeyJ2IjoiMSJ9.lJCgDwlTmXzI8DcUd8CfOHY7EuKvVcQ0BijrFqGJUADpPqDl3XcgmVqfSmFnl4PIYdBPHhrCdsxte3KjqVifKw.aUgO2Qdlz4yMceXrfoaij2O1RobLAJyT8G6_zIDX8Ec%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26pd_rd_i%3DB000XZBXP8%26pd_rd_r%3D3b8a3859-c14c-4548-9a5b-f2ef070c4133%26pd_rd_w%3D7NdPX%26pd_rd_wg%3DQiyfd%26pf_rd_p%3D6b32b29c-c1e7-4548-a253-3cba792cf5c7%26pf_rd_r%3DW18RGAN4CGNA7C92F8JP%26qid%3D1733030795%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,4.6 out of 5 stars,Blue Buffalo,Adult,,4K+ bought in past month
"Blue Buffalo Life Protection Formula Adult Dry Dog Food, Helps Build and Maintain Strong Muscles, Made with Natural Ingredients, Lamb & Brown Rice Recipe, 30-lb. Bag",$69.90,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjIyNTI2Mjc5MTg1NjMwOjE3MzMwMzA3OTU6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA1NTI3NjkwNzY0MTo6MDo6&url=%2FBlue-Buffalo-Protection-Formula-Adult%2Fdp%2FB000XZBXP8%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6b32b29c-c1e7-4548-a253-3cba792cf5c7%253Aamzn1.sym.6b32b29c-c1e7-4548-a253-3cba792cf5c7%26cv_ct_cx%3Dpet%2Bfood%26dib%3DeyJ2IjoiMSJ9.lJCgDwlTmXzI8DcUd8CfOHY7EuKvVcQ0BijrFqGJUADpPqDl3XcgmVqfSmFnl4PIYdBPHhrCdsxte3KjqVifKw.aUgO2Qdlz4yMceXrfoaij2O1RobLAJyT8G6_zIDX8Ec%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26pd_rd_i%3DB000XZBXP8%26pd_rd_r%3D3b8a3859-c14c-4548-9a5b-f2ef070c4133%26pd_rd_w%3D7NdPX%26pd_rd_wg%3DQiyfd%26pf_rd_p%3D6b32b29c-c1e7-4548-a253-3cba792cf5c7%26pf_rd_r%3DW18RGAN4CGNA7C92F8JP%26qid%3D1733030795%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,4.6 out of 5 stars,Blue Buffalo,Adult,,4K+ bought in past month
"Blue Buffalo Life Protection Formula Adult Small Breed Dry Dog Food, Supports High Energy Needs, Made with Natural Ingredients, Chicken & Brown Rice Recipe, 15-lb Bag",$41.98,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjIyNTI2Mjc5MTg1NjMwOjE3MzMwMzA3OTU6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA0MDkxMDY1NDMwMjo6MTo6&url=%2FBlue-Buffalo-Protection-Formula-Natural%2Fdp%2FB003O7ZON4%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.6b32b29c-c1e7-4548-a253-3cba792cf5c7%253Aamzn1.sym.6b32b29c-c1e7-4548-a253-3cba792cf5c7%26cv_ct_cx%3Dpet%2Bfood%26dib%3DeyJ2IjoiMSJ9.lJCgDwlTmXzI8DcUd8CfOHY7EuKvVcQ0BijrFqGJUADpPqDl3XcgmVqfSmFnl4PIYdBPHhrCdsxte3KjqVifKw.aUgO2Qdlz4yMceXrfoaij2O1RobLAJyT8G6_zIDX8Ec%26dib_tag%3Dse%26keywords%3Dpet%2Bfood%26pd_rd_i%3DB003O7ZON4%26pd_rd_r%3D3b8a3859-c14c-4548-9a5b-f2ef070c4133%26pd_rd_w%3D7NdPX%26pd_rd_wg%3DQiyfd%26pf_rd_p%3D6b32b29c-c1e7-4548-a253-3cba792cf5c7%26pf_rd_r%3DW18RGAN4CGNA7C92F8JP%26qid%3D1733030795%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-2c727eeb-987f-452f-86bd-c2978cc9d8b9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,4.7 out of 5 stars,Blue Buffalo,Adult,,10K+ bought in past month
